Spread = 1.0

________________
0.7295176913959777, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 4.0
0.7296392551575984, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 4.0
0.7297528112152302, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 4.0
0.7298365643171969, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 4.0
0.7297052409348495, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 4.0
________________
0.45830532241934885, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0
0.8241083632727138, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0
0.710520369272936, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0
0.5806467980295567, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0
0.8243695136856921, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0
0.5286272936034668, Z: 50 of [[1, 1], [0, 1]], Spread: 6.0

0.8224437312493055, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224722100818549, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224467554353865, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224421145227601, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224413941257084, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224567854364977, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224536630986333, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
0.8224305363161598, Z: 50 of [[1, 0], [0, 1]], Spread: 6.0
______________
0.0012129745546131338, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0011835493907181747, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0011992758991073744, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0011393514574613874, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0011312956035408718, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.001152957516945072, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0011551279677025075, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
0.0012438368087706953, Z: 50 of [[1, 0], [0, 1]], Spread: 0.5
