0.5262676477432251, Z: 5 of [[1, 1], [0, 1]]
0.5058711767196655, Z: 5 of [[1, 1], [0, 1]]
0.5011664628982544, Z: 5 of [[1, 1], [0, 1]]
0.4517752230167389, Z: 5 of [[1, 1], [0, 1]]
0.5624403953552246, Z: 5 of [[1, 1], [0, 1]]
0.532882809638977, Z: 5 of [[1, 1], [0, 1]]
0.47584399580955505, Z: 5 of [[1, 1], [0, 1]]
0.46355241537094116, Z: 5 of [[1, 1], [0, 1]]

0.019335418939590454, Z: 5 of [[0, 0], [0, 0]]
0.02019631862640381, Z: 5 of [[0, 0], [0, 0]]
0.02082008123397827, Z: 5 of [[0, 0], [0, 0]]
0.02134975790977478, Z: 5 of [[0, 0], [0, 0]]
0.022004514932632446, Z: 5 of [[0, 0], [0, 0]]
0.02099481225013733, Z: 5 of [[0, 0], [0, 0]]
0.020933866500854492, Z: 5 of [[0, 0], [0, 0]]
0.020770877599716187, Z: 5 of [[0, 0], [0, 0]]

0.13157886266708374, Z: 5 of [[1, 1], [0, 0]]
0.12797850370407104, Z: 5 of [[1, 1], [0, 0]]
0.12999996542930603, Z: 5 of [[1, 1], [0, 0]]
0.1389734148979187, Z: 5 of [[1, 1], [0, 0]]
0.1363530158996582, Z: 5 of [[1, 1], [0, 0]]
0.12969133257865906, Z: 5 of [[1, 1], [0, 0]]
0.139630526304245, Z: 5 of [[1, 1], [0, 0]]
0.1444832682609558, Z: 5 of [[1, 1], [0, 0]]

0.6415401538524217, Z: 5 of [[1, 0], [0, 1]]
0.6446142578305846, Z: 5 of [[1, 0], [0, 1]]
0.6410012259304664, Z: 5 of [[1, 0], [0, 1]]
0.6680960299852963, Z: 5 of [[1, 0], [0, 1]]
0.6918668402475565, Z: 5 of [[1, 0], [0, 1]]
0.6640123852310564, Z: 5 of [[1, 0], [0, 1]]
0.6769155811688191, Z: 5 of [[1, 0], [0, 1]]
0.6492853677235841, Z: 5 of [[1, 0], [0, 1]]

0.30300328890107, Z: 5 of [[1, 1], [0, 1]]
0.3122170267297286, Z: 5 of [[1, 1], [0, 1]]
0.3694477572139156, Z: 5 of [[1, 1], [0, 1]]
0.32269225071203966, Z: 5 of [[1, 1], [0, 1]]
0.34660439483109196, Z: 5 of [[1, 1], [0, 1]]
0.35753302790010333, Z: 5 of [[1, 1], [0, 1]]
0.34472536935321985, Z: 5 of [[1, 1], [0, 1]]
0.33506662987640695, Z: 5 of [[1, 1], [0, 1]]
0.09319549331664191, Z: 5 of [[1, 1], [0, 0]]
0.09114222645269057, Z: 5 of [[1, 1], [0, 0]]
0.08924023792680713, Z: 5 of [[1, 1], [0, 0]]
0.08716635987540694, Z: 5 of [[1, 1], [0, 0]]
0.08226137874584721, Z: 5 of [[1, 1], [0, 0]]
0.08406753358345771, Z: 5 of [[1, 1], [0, 0]]
0.08222852677232138, Z: 5 of [[1, 1], [0, 0]]
0.08719735999022218, Z: 5 of [[1, 1], [0, 0]]
