0.5939132512092682, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.6090569559774517, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.6361031192823651, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.6309507107460055, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.5853112986022119, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.687934280994674, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.6417609019326069, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.6088585471003489, Z: 5 of [[1, 0], [0, 1]], Spread: 2.5
0.7925593816127033, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7967543072335516, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7895187405194771, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7955344872410578, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.8035520556325109, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7818265796310425, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7913631086053312, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7674030481501509, Z: 12 of [[1, 0], [0, 1]], Spread: 2.5
0.7206939606960051, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7206406669679035, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7123423492025867, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7206699353328543, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7206390832524685, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7207202068163467, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.7207092896984422, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.720654049289254, Z: 25 of [[1, 0], [0, 1]], Spread: 2.5
0.6504696301454085, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.6480433410617856, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.48586825383891735, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.6396203490396225, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.5138638601026674, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.6506798168875325, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.5235776990940674, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.5706508081541345, Z: 50 of [[1, 0], [0, 1]], Spread: 2.5
0.5798954196712871, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.40932889771216746, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.000892232610642165, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.000907681137774112, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.7028993423382879, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.6997008330069263, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.7001572224420105, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
0.0009288373791430957, Z: 70 of [[1, 0], [0, 1]], Spread: 2.5
