Generation Number,AllD Count,pDisc Count,Disc Count,AllC Count,AllD Ratio,pDisc Ratio,Disc Ratio,AllC Ratio,
0,17,15,8,10,0.34,0.3,0.16,0.2,,
300,16,32,2,0,0.32,0.64,0.04,0.0,,
600,0,50,0,0,0.0,1.0,0.0,0.0,,
900,0,50,0,0,0.0,1.0,0.0,0.0,,
1200,0,50,0,0,0.0,1.0,0.0,0.0,,
1500,0,50,0,0,0.0,1.0,0.0,0.0,,
1800,0,50,0,0,0.0,1.0,0.0,0.0,,
2100,0,50,0,0,0.0,1.0,0.0,0.0,,
2400,0,50,0,0,0.0,1.0,0.0,0.0,,
2700,0,50,0,0,0.0,1.0,0.0,0.0,,
3000,0,50,0,0,0.0,1.0,0.0,0.0,,
3300,0,50,0,0,0.0,1.0,0.0,0.0,,
3600,0,50,0,0,0.0,1.0,0.0,0.0,,
3900,0,50,0,0,0.0,1.0,0.0,0.0,,
4200,0,50,0,0,0.0,1.0,0.0,0.0,,
4500,0,50,0,0,0.0,1.0,0.0,0.0,,
4800,0,50,0,0,0.0,1.0,0.0,0.0,,
5100,0,50,0,0,0.0,1.0,0.0,0.0,,
5400,0,50,0,0,0.0,1.0,0.0,0.0,,
5700,0,50,0,0,0.0,1.0,0.0,0.0,,
6000,0,50,0,0,0.0,1.0,0.0,0.0,,
6300,0,50,0,0,0.0,1.0,0.0,0.0,,
6600,0,50,0,0,0.0,1.0,0.0,0.0,,
6900,0,50,0,0,0.0,1.0,0.0,0.0,,
7200,0,50,0,0,0.0,1.0,0.0,0.0,,
7500,0,50,0,0,0.0,1.0,0.0,0.0,,
7800,0,50,0,0,0.0,1.0,0.0,0.0,,
8100,0,50,0,0,0.0,1.0,0.0,0.0,,
8400,0,50,0,0,0.0,1.0,0.0,0.0,,
8700,0,50,0,0,0.0,1.0,0.0,0.0,,
9000,0,50,0,0,0.0,1.0,0.0,0.0,,
9300,0,50,0,0,0.0,1.0,0.0,0.0,,
9600,0,50,0,0,0.0,1.0,0.0,0.0,,
9900,0,50,0,0,0.0,1.0,0.0,0.0,,
10200,0,50,0,0,0.0,1.0,0.0,0.0,,
10500,0,50,0,0,0.0,1.0,0.0,0.0,,
10800,0,50,0,0,0.0,1.0,0.0,0.0,,
11100,0,50,0,0,0.0,1.0,0.0,0.0,,
11400,0,50,0,0,0.0,1.0,0.0,0.0,,
11700,0,50,0,0,0.0,1.0,0.0,0.0,,
12000,0,50,0,0,0.0,1.0,0.0,0.0,,
12300,0,50,0,0,0.0,1.0,0.0,0.0,,
12600,0,50,0,0,0.0,1.0,0.0,0.0,,
12900,0,50,0,0,0.0,1.0,0.0,0.0,,
13200,0,50,0,0,0.0,1.0,0.0,0.0,,
13500,0,50,0,0,0.0,1.0,0.0,0.0,,
13800,0,50,0,0,0.0,1.0,0.0,0.0,,
14100,0,50,0,0,0.0,1.0,0.0,0.0,,
14400,0,50,0,0,0.0,1.0,0.0,0.0,,
14700,0,50,0,0,0.0,1.0,0.0,0.0,,
15000,0,50,0,0,0.0,1.0,0.0,0.0,,
15300,0,50,0,0,0.0,1.0,0.0,0.0,,
15600,0,50,0,0,0.0,1.0,0.0,0.0,,
15900,0,50,0,0,0.0,1.0,0.0,0.0,,
16200,0,50,0,0,0.0,1.0,0.0,0.0,,
16500,0,50,0,0,0.0,1.0,0.0,0.0,,
16800,0,50,0,0,0.0,1.0,0.0,0.0,,
17100,0,50,0,0,0.0,1.0,0.0,0.0,,
17400,0,50,0,0,0.0,1.0,0.0,0.0,,
17700,0,50,0,0,0.0,1.0,0.0,0.0,,
18000,0,50,0,0,0.0,1.0,0.0,0.0,,
18300,0,50,0,0,0.0,1.0,0.0,0.0,,
18600,0,50,0,0,0.0,1.0,0.0,0.0,,
