Generation Number,AllD Count,pDisc Count,Disc Count,AllC Count,AllD Ratio,pDisc Ratio,Disc Ratio,AllC Ratio,
32400,50,0,0,0,1.0,0.0,0.0,0.0,,
32700,50,0,0,0,1.0,0.0,0.0,0.0,,
33000,50,0,0,0,1.0,0.0,0.0,0.0,,
33300,50,0,0,0,1.0,0.0,0.0,0.0,,
33600,50,0,0,0,1.0,0.0,0.0,0.0,,
33900,50,0,0,0,1.0,0.0,0.0,0.0,,
34200,50,0,0,0,1.0,0.0,0.0,0.0,,
34500,49,0,0,1,0.98,0.0,0.0,0.02,,
34800,50,0,0,0,1.0,0.0,0.0,0.0,,
35100,50,0,0,0,1.0,0.0,0.0,0.0,,
35400,50,0,0,0,1.0,0.0,0.0,0.0,,
35700,50,0,0,0,1.0,0.0,0.0,0.0,,
36000,50,0,0,0,1.0,0.0,0.0,0.0,,
36300,50,0,0,0,1.0,0.0,0.0,0.0,,
36600,50,0,0,0,1.0,0.0,0.0,0.0,,
36900,49,1,0,0,0.98,0.02,0.0,0.0,,
37200,50,0,0,0,1.0,0.0,0.0,0.0,,
37500,50,0,0,0,1.0,0.0,0.0,0.0,,
37800,50,0,0,0,1.0,0.0,0.0,0.0,,
38100,50,0,0,0,1.0,0.0,0.0,0.0,,
38400,50,0,0,0,1.0,0.0,0.0,0.0,,
38700,50,0,0,0,1.0,0.0,0.0,0.0,,
39000,50,0,0,0,1.0,0.0,0.0,0.0,,
39300,50,0,0,0,1.0,0.0,0.0,0.0,,
39600,50,0,0,0,1.0,0.0,0.0,0.0,,
39900,50,0,0,0,1.0,0.0,0.0,0.0,,
40200,50,0,0,0,1.0,0.0,0.0,0.0,,
40500,50,0,0,0,1.0,0.0,0.0,0.0,,
40800,50,0,0,0,1.0,0.0,0.0,0.0,,
41100,50,0,0,0,1.0,0.0,0.0,0.0,,
41400,50,0,0,0,1.0,0.0,0.0,0.0,,
41700,50,0,0,0,1.0,0.0,0.0,0.0,,
42000,50,0,0,0,1.0,0.0,0.0,0.0,,
42300,50,0,0,0,1.0,0.0,0.0,0.0,,
42600,50,0,0,0,1.0,0.0,0.0,0.0,,
42900,50,0,0,0,1.0,0.0,0.0,0.0,,
43200,50,0,0,0,1.0,0.0,0.0,0.0,,
43500,50,0,0,0,1.0,0.0,0.0,0.0,,
43800,50,0,0,0,1.0,0.0,0.0,0.0,,
44100,50,0,0,0,1.0,0.0,0.0,0.0,,
44400,50,0,0,0,1.0,0.0,0.0,0.0,,
44700,50,0,0,0,1.0,0.0,0.0,0.0,,
45000,49,0,1,0,0.98,0.0,0.02,0.0,,
45300,50,0,0,0,1.0,0.0,0.0,0.0,,
45600,50,0,0,0,1.0,0.0,0.0,0.0,,
45900,50,0,0,0,1.0,0.0,0.0,0.0,,
46200,50,0,0,0,1.0,0.0,0.0,0.0,,
46500,50,0,0,0,1.0,0.0,0.0,0.0,,
46800,50,0,0,0,1.0,0.0,0.0,0.0,,
47100,50,0,0,0,1.0,0.0,0.0,0.0,,
47400,50,0,0,0,1.0,0.0,0.0,0.0,,
47700,50,0,0,0,1.0,0.0,0.0,0.0,,
48000,50,0,0,0,1.0,0.0,0.0,0.0,,
48300,50,0,0,0,1.0,0.0,0.0,0.0,,
48600,50,0,0,0,1.0,0.0,0.0,0.0,,
48900,47,3,0,0,0.94,0.06,0.0,0.0,,
49200,48,2,0,0,0.96,0.04,0.0,0.0,,
49500,50,0,0,0,1.0,0.0,0.0,0.0,,
49800,50,0,0,0,1.0,0.0,0.0,0.0,,
50100,50,0,0,0,1.0,0.0,0.0,0.0,,
50400,50,0,0,0,1.0,0.0,0.0,0.0,,
50700,50,0,0,0,1.0,0.0,0.0,0.0,,
51000,50,0,0,0,1.0,0.0,0.0,0.0,,
51300,50,0,0,0,1.0,0.0,0.0,0.0,,
51600,47,3,0,0,0.94,0.06,0.0,0.0,,
51900,49,1,0,0,0.98,0.02,0.0,0.0,,
52200,49,1,0,0,0.98,0.02,0.0,0.0,,
52500,50,0,0,0,1.0,0.0,0.0,0.0,,
52800,49,1,0,0,0.98,0.02,0.0,0.0,,
53100,50,0,0,0,1.0,0.0,0.0,0.0,,
53400,50,0,0,0,1.0,0.0,0.0,0.0,,
53700,50,0,0,0,1.0,0.0,0.0,0.0,,
54000,50,0,0,0,1.0,0.0,0.0,0.0,,
54300,50,0,0,0,1.0,0.0,0.0,0.0,,
54600,50,0,0,0,1.0,0.0,0.0,0.0,,
54900,50,0,0,0,1.0,0.0,0.0,0.0,,
55200,50,0,0,0,1.0,0.0,0.0,0.0,,
55500,50,0,0,0,1.0,0.0,0.0,0.0,,
55800,50,0,0,0,1.0,0.0,0.0,0.0,,
56100,50,0,0,0,1.0,0.0,0.0,0.0,,
56400,50,0,0,0,1.0,0.0,0.0,0.0,,
56700,50,0,0,0,1.0,0.0,0.0,0.0,,
57000,50,0,0,0,1.0,0.0,0.0,0.0,,
57300,50,0,0,0,1.0,0.0,0.0,0.0,,
57600,50,0,0,0,1.0,0.0,0.0,0.0,,
57900,50,0,0,0,1.0,0.0,0.0,0.0,,
58200,50,0,0,0,1.0,0.0,0.0,0.0,,
58500,50,0,0,0,1.0,0.0,0.0,0.0,,
58800,50,0,0,0,1.0,0.0,0.0,0.0,,
59100,50,0,0,0,1.0,0.0,0.0,0.0,,
59400,46,0,4,0,0.92,0.0,0.08,0.0,,
59700,48,0,2,0,0.96,0.0,0.04,0.0,,
60000,50,0,0,0,1.0,0.0,0.0,0.0,,
60300,50,0,0,0,1.0,0.0,0.0,0.0,,
60600,50,0,0,0,1.0,0.0,0.0,0.0,,
60900,50,0,0,0,1.0,0.0,0.0,0.0,,
61200,50,0,0,0,1.0,0.0,0.0,0.0,,
61500,50,0,0,0,1.0,0.0,0.0,0.0,,
61800,50,0,0,0,1.0,0.0,0.0,0.0,,
62100,50,0,0,0,1.0,0.0,0.0,0.0,,
62400,50,0,0,0,1.0,0.0,0.0,0.0,,
62700,50,0,0,0,1.0,0.0,0.0,0.0,,
63000,50,0,0,0,1.0,0.0,0.0,0.0,,
63300,50,0,0,0,1.0,0.0,0.0,0.0,,
63600,50,0,0,0,1.0,0.0,0.0,0.0,,
63900,50,0,0,0,1.0,0.0,0.0,0.0,,
64200,50,0,0,0,1.0,0.0,0.0,0.0,,
64500,50,0,0,0,1.0,0.0,0.0,0.0,,
64800,48,0,0,2,0.96,0.0,0.0,0.04,,
65100,50,0,0,0,1.0,0.0,0.0,0.0,,
65400,50,0,0,0,1.0,0.0,0.0,0.0,,
65700,50,0,0,0,1.0,0.0,0.0,0.0,,
66000,50,0,0,0,1.0,0.0,0.0,0.0,,
66300,50,0,0,0,1.0,0.0,0.0,0.0,,
66600,50,0,0,0,1.0,0.0,0.0,0.0,,
66900,50,0,0,0,1.0,0.0,0.0,0.0,,
67200,50,0,0,0,1.0,0.0,0.0,0.0,,
67500,50,0,0,0,1.0,0.0,0.0,0.0,,
67800,50,0,0,0,1.0,0.0,0.0,0.0,,
68100,50,0,0,0,1.0,0.0,0.0,0.0,,
68400,50,0,0,0,1.0,0.0,0.0,0.0,,
68700,50,0,0,0,1.0,0.0,0.0,0.0,,
69000,50,0,0,0,1.0,0.0,0.0,0.0,,
69300,50,0,0,0,1.0,0.0,0.0,0.0,,
69600,50,0,0,0,1.0,0.0,0.0,0.0,,
69900,50,0,0,0,1.0,0.0,0.0,0.0,,
70200,50,0,0,0,1.0,0.0,0.0,0.0,,
70500,50,0,0,0,1.0,0.0,0.0,0.0,,
70800,50,0,0,0,1.0,0.0,0.0,0.0,,
71100,49,0,0,1,0.98,0.0,0.0,0.02,,
71400,50,0,0,0,1.0,0.0,0.0,0.0,,
71700,50,0,0,0,1.0,0.0,0.0,0.0,,
72000,50,0,0,0,1.0,0.0,0.0,0.0,,
72300,50,0,0,0,1.0,0.0,0.0,0.0,,
72600,50,0,0,0,1.0,0.0,0.0,0.0,,
72900,45,0,5,0,0.9,0.0,0.1,0.0,,
73200,42,0,8,0,0.84,0.0,0.16,0.0,,
73500,50,0,0,0,1.0,0.0,0.0,0.0,,
73800,50,0,0,0,1.0,0.0,0.0,0.0,,
74100,50,0,0,0,1.0,0.0,0.0,0.0,,
74400,50,0,0,0,1.0,0.0,0.0,0.0,,
74700,50,0,0,0,1.0,0.0,0.0,0.0,,
75000,50,0,0,0,1.0,0.0,0.0,0.0,,
75300,50,0,0,0,1.0,0.0,0.0,0.0,,
75600,50,0,0,0,1.0,0.0,0.0,0.0,,
75900,50,0,0,0,1.0,0.0,0.0,0.0,,
76200,50,0,0,0,1.0,0.0,0.0,0.0,,
76500,50,0,0,0,1.0,0.0,0.0,0.0,,
76800,50,0,0,0,1.0,0.0,0.0,0.0,,
77100,50,0,0,0,1.0,0.0,0.0,0.0,,
77400,50,0,0,0,1.0,0.0,0.0,0.0,,
77700,50,0,0,0,1.0,0.0,0.0,0.0,,
78000,50,0,0,0,1.0,0.0,0.0,0.0,,
78300,50,0,0,0,1.0,0.0,0.0,0.0,,
78600,50,0,0,0,1.0,0.0,0.0,0.0,,
78900,50,0,0,0,1.0,0.0,0.0,0.0,,
79200,49,0,1,0,0.98,0.0,0.02,0.0,,
79500,50,0,0,0,1.0,0.0,0.0,0.0,,
79800,50,0,0,0,1.0,0.0,0.0,0.0,,
80100,50,0,0,0,1.0,0.0,0.0,0.0,,
80400,50,0,0,0,1.0,0.0,0.0,0.0,,
80700,50,0,0,0,1.0,0.0,0.0,0.0,,
81000,50,0,0,0,1.0,0.0,0.0,0.0,,
81300,50,0,0,0,1.0,0.0,0.0,0.0,,
81600,50,0,0,0,1.0,0.0,0.0,0.0,,
81900,50,0,0,0,1.0,0.0,0.0,0.0,,
82200,50,0,0,0,1.0,0.0,0.0,0.0,,
82500,50,0,0,0,1.0,0.0,0.0,0.0,,
82800,49,0,0,1,0.98,0.0,0.0,0.02,,
83100,50,0,0,0,1.0,0.0,0.0,0.0,,
